2024-06-10 02:25:26,703.bbq_monitoring.INFO ==================================================
2024-06-10 02:25:26,703.bbq_monitoring.INFO Today is 2024-06-10 at 02:25 AM
2024-06-10 02:25:26,703.bbq_monitoring.INFO Running on: nt Windows 10
2024-06-10 02:25:26,704.bbq_monitoring.INFO Python version:  3.9.16
2024-06-10 02:25:26,704.bbq_monitoring.INFO Python path: D:\Master's Data Analytics\Courses\44671 Streaming Data\Module 5\streaming-05-smart-smoker\.venv
2024-06-10 02:25:26,705.bbq_monitoring.INFO Working dir: D:\Master's Data Analytics\Courses\44671 Streaming Data\Module 5\streaming-05-smart-smoker
2024-06-10 02:25:26,705.bbq_monitoring.INFO ==================================================
2024-06-10 02:25:29,344.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:20, 84.2
2024-06-10 02:25:29,345.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:20, 84.2
2024-06-10 02:25:29,346.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:21, 87.6
2024-06-10 02:25:29,346.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:21, 87.6
2024-06-10 02:25:29,346.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:22, 86.3
2024-06-10 02:25:29,347.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:22, 86.3
2024-06-10 02:25:29,347.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:23, 92
2024-06-10 02:25:29,347.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:23, 92
2024-06-10 02:25:29,348.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:24, 96.8
2024-06-10 02:25:29,348.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:24, 96.8
2024-06-10 02:25:29,348.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:25, 100.6
2024-06-10 02:25:29,349.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:25, 100.9
2024-06-10 02:25:29,349.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:25, 100.9
2024-06-10 02:25:29,349.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:26, 104.8
2024-06-10 02:25:29,349.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:26, 104.8
2024-06-10 02:25:29,350.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:27, 108.2
2024-06-10 02:25:29,350.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:27, 108.2
2024-06-10 02:25:29,350.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:28, 111.4
2024-06-10 02:25:29,351.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:28, 111.4
2024-06-10 02:25:29,351.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:29, 114.2
2024-06-10 02:25:29,351.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:29, 114.2
2024-06-10 02:25:29,352.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:30, 116.9
2024-06-10 02:25:29,352.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:30, 116.9
2024-06-10 02:25:29,353.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:31, 119.4
2024-06-10 02:25:29,353.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:31, 119.4
2024-06-10 02:25:29,353.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:32, 120.1
2024-06-10 02:25:29,354.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:32, 120.1
2024-06-10 02:25:29,354.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:33, 106.2
2024-06-10 02:25:29,355.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:33, 106.2
2024-06-10 02:25:29,355.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:34, 103.5
2024-06-10 02:25:29,355.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:34, 103.5
2024-06-10 02:25:29,356.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:35, 105.3
2024-06-10 02:25:29,356.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:35, 105.3
2024-06-10 02:25:29,357.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:36, 106.9
2024-06-10 02:25:29,357.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:36, 106.9
2024-06-10 02:25:29,357.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:37, 111.9
2024-06-10 02:25:29,358.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:37, 111.9
2024-06-10 02:25:29,358.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:38, 114.2
2024-06-10 02:25:29,358.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:38, 114.2
2024-06-10 02:25:29,359.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:39, 115.5
2024-06-10 02:25:29,359.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:39, 115.5
2024-06-10 02:25:29,359.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:40, 112.6
2024-06-10 02:25:29,360.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:40, 112.6
2024-06-10 02:25:29,360.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:41, 118.8
2024-06-10 02:25:29,360.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:41, 118.8
2024-06-10 02:25:29,360.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:42, 113.2
2024-06-10 02:25:29,361.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:42, 113.2
2024-06-10 02:25:29,361.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:43, 126.7
2024-06-10 02:25:29,361.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:43, 126.7
2024-06-10 02:25:29,362.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:44, 130
2024-06-10 02:25:29,362.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:44, 130
2024-06-10 02:25:29,362.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:45, 130
2024-06-10 02:25:29,363.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:45, 130
2024-06-10 02:25:29,363.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:46, 137.3
2024-06-10 02:25:29,363.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:46, 137.3
2024-06-10 02:25:29,364.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:47, 139.5
2024-06-10 02:25:29,364.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:47, 139.5
2024-06-10 02:25:29,364.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:48, 141.8
2024-06-10 02:25:29,364.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:48, 141.8
2024-06-10 02:25:29,365.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:49, 143.6
2024-06-10 02:25:29,365.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:49, 143.6
2024-06-10 02:25:29,365.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:50, 145
2024-06-10 02:25:29,366.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:50, 145
2024-06-10 02:25:29,366.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:51, 146.2
2024-06-10 02:25:29,366.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:51, 146.2
2024-06-10 02:25:29,367.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:52, 147.5
2024-06-10 02:25:29,367.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:52, 147.5
2024-06-10 02:25:29,367.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:53, 148.7
2024-06-10 02:25:29,367.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:53, 148.7
2024-06-10 02:25:29,368.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:54, 149.9
2024-06-10 02:25:29,368.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:54, 149.9
2024-06-10 02:25:29,368.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:55, 151.1
2024-06-10 02:25:29,369.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:55, 151.2
2024-06-10 02:25:29,369.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:55, 151.2
2024-06-10 02:25:29,369.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:56, 152.4
2024-06-10 02:25:29,370.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:56, 152.4
2024-06-10 02:25:29,370.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:57, 153.4
2024-06-10 02:25:29,370.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:57, 153.4
2024-06-10 02:25:29,371.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:58, 154.5
2024-06-10 02:25:29,371.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:58, 154.5
2024-06-10 02:25:29,372.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:59, 155.6
2024-06-10 02:25:29,372.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 12:59, 155.6
2024-06-10 02:25:29,373.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 13:00, 156.5
2024-06-10 02:25:29,374.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 13:00, 156.5
2024-06-10 02:25:29,374.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 13:01, 157.8
2024-06-10 02:25:29,374.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 13:01, 157.8
2024-06-10 02:25:29,375.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 13:02, 158.8
2024-06-10 02:25:29,375.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 13:02, 158.8
2024-06-10 02:25:29,375.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 13:03, 159.9
2024-06-10 02:25:29,376.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 13:03, 159.9
2024-06-10 02:25:29,376.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 13:04, 160.7
2024-06-10 02:25:29,376.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 13:04, 160.7
2024-06-10 02:25:29,377.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 13:05, 161.9
2024-06-10 02:25:29,377.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 13:05, 161.9
2024-06-10 02:25:29,377.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 13:06, 163.1
2024-06-10 02:25:29,377.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 13:06, 163.1
2024-06-10 02:25:29,378.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 13:07, 164.3
2024-06-10 02:25:29,378.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 13:07, 164.3
2024-06-10 02:25:29,378.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 13:08, 165.6
2024-06-10 02:25:29,379.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 13:08, 165.6
2024-06-10 02:25:29,379.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 13:09, 166.7
2024-06-10 02:25:29,379.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 13:09, 166.7
2024-06-10 02:25:29,380.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 13:10, 167.8
2024-06-10 02:25:29,380.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 13:10, 167.8
2024-06-10 02:25:29,380.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 13:11, 168.8
2024-06-10 02:25:29,381.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 13:11, 168.8
2024-06-10 02:25:29,381.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 13:12, 170.2
2024-06-10 02:25:29,381.bbq_monitoring.INFO [X] Sent message to queue 01-smoker: 5/22/2021 13:12, 170.2
